ref_no,doi,url,raw_gost
11,10.1097/j.pain.0000000000002825,https://pubmed.ncbi.nlm.nih.gov/36409624/,"Zebhauser P. T., Hohn V. D., Ploner M. Resting-state electroencephalography and magnetoencephalography as biomarkers of chronic pain: a systematic review // Pain. — 2023. — Vol. 164, no. 6. — P. 1200–1221. — DOI: 10.1097/j.pain.0000000000002825. — URL: https://pubmed.ncbi.nlm.nih.gov/36409624/ (дата обращения: 06.09.2026)."
12,10.1038/s41597-024-03878-w,https://doi.org/10.1038/s41597-024-03878-w,"An Experimental and Clinical Physiological Signal Dataset for Automated Pain Recognition / P. Gouverneur, A. Badura, F. Li [et al.] // Scientific Data. — 2024. — Vol. 11, no. 1. — Art. 1051. — DOI: 10.1038/s41597-024-03878-w. — URL: https://doi.org/10.1038/s41597-024-03878-w (дата обращения: 06.09.2026)."
13,10.1109/cybconf.2013.6617456,https://doi.org/10.1109/CYBConf.2013.6617456,"The BioVid Heat Pain Database: Data for the Advancement and Systematic Validation of an Automated Pain Recognition System / S. Walter, S. Gruss, H. Ehleiter [et al.] // 2013 IEEE International Conference on Cybernetics (CYBCO). — Lausanne : IEEE, 2013. — P. 128–131. — DOI: 10.1109/CYBConf.2013.6617456. — URL: https://doi.org/10.1109/CYBConf.2013.6617456 (дата обращения: 06.09.2026)."
14,10.3791/59057,https://doi.org/10.3791/59057,"Multi-Modal Signals for Analyzing Pain Responses to Thermal and Electrical Stimuli / S. Gruss, M. Geiger, P. Werner [et al.] // Journal of Visualized Experiments. — 2019. — No. 146. — Art. e59057. — DOI: 10.3791/59057. — URL: https://doi.org/10.3791/59057 (дата обращения: 06.09.2026)."
15,10.1016/j.dib.2025.111992,https://doi.org/10.1016/j.dib.2025.111992,"Multimodal Insights into Diverse Pain Experiences: PhysioPain Dataset / B. Toktay, İ. I. Orhan, E. Yıldırım [et al.] // Data in Brief. — 2025. — Vol. 62. — Art. 111992. — DOI: 10.1016/j.dib.2025.111992. — URL: https://doi.org/10.1016/j.dib.2025.111992 (дата обращения: 06.09.2026)."
16,10.1016/j.dib.2026.113131,https://doi.org/10.1016/j.dib.2026.113131,"Yıldırım E., Patlar Akbulut F. RheumaPain: a multimodal biosignal dataset for objective pain assessment in pediatric rheumatic diseases // Data in Brief. — 2026. — Vol. 68. — Art. 113131. — DOI: 10.1016/j.dib.2026.113131. — URL: https://doi.org/10.1016/j.dib.2026.113131 (дата обращения: 06.09.2026)."
17,10.1038/s41597-025-04733-2,https://doi.org/10.1038/s41597-025-04733-2,"TAME Pain Data Release: Using Audio Signals to Characterize Pain / T.-Q. Dao, E. Schneiders, J. Williams [et al.] // Scientific Data. — 2025. — Vol. 12, no. 1. — Art. 595. — DOI: 10.1038/s41597-025-04733-2. — URL: https://doi.org/10.1038/s41597-025-04733-2 (дата обращения: 06.09.2026)."
18,10.1109/fg.2011.5771462,https://doi.org/10.1109/FG.2011.5771462,"PAINFUL DATA: The UNBC-McMaster Shoulder Pain Expression Archive Database / P. Lucey, J. F. Cohn, K. M. Prkachin [et al.] // 2011 IEEE International Conference on Automatic Face & Gesture Recognition and Workshops. — Santa Barbara : IEEE, 2011. — P. 57–64. — DOI: 10.1109/FG.2011.5771462. — URL: https://doi.org/10.1109/FG.2011.5771462 (дата обращения: 06.09.2026)."
19,10.1109/taffc.2015.2462830,https://doi.org/10.1109/TAFFC.2015.2462830,"The Automatic Detection of Chronic Pain-Related Expression: Requirements, Challenges and the Multimodal EmoPain Dataset / M. S. H. Aung, S. Kaltwang, B. Romera-Paredes [et al.] // IEEE Transactions on Affective Computing. — 2016. — Vol. 7, no. 4. — P. 435–451. — DOI: 10.1109/TAFFC.2015.2462830. — URL: https://doi.org/10.1109/TAFFC.2015.2462830 (дата обращения: 06.09.2026)."
20,10.1109/taffc.2024.3390837,https://doi.org/10.1109/TAFFC.2024.3390837,"The EmoPain@Home Dataset: Capturing Pain Level and Activity Recognition for People with Chronic Pain in Their Homes / T. Olugbade, R. A. Buono, K. Potapov [et al.] // IEEE Transactions on Affective Computing. — 2025. — Vol. 16, no. 2. — P. 471–484. — DOI: 10.1109/TAFFC.2024.3390837. — URL: https://doi.org/10.1109/TAFFC.2024.3390837 (дата обращения: 06.09.2026)."
21,10.1109/fg.2018.00044,https://doi.org/10.1109/FG.2018.00044,"Deep Multimodal Pain Recognition: A Database and Comparison of Spatio-Temporal Visual Modalities / M. A. Haque, R. B. Bautista, F. Noroozi [et al.] // 2018 13th IEEE International Conference on Automatic Face & Gesture Recognition (FG 2018). — Xi’an : IEEE, 2018. — P. 250–257. — DOI: 10.1109/FG.2018.00044. — URL: https://doi.org/10.1109/FG.2018.00044 (дата обращения: 06.09.2026)."
22,10.1038/s41597-025-05982-x,https://doi.org/10.1038/s41597-025-05982-x,"CoSpine Open Access Simultaneous Cortico-Spinal fMRI Database of Thermal Pain and Motor Tasks / Z. Wei, X. Lin, L. Zhang [et al.] // Scientific Data. — 2025. — Vol. 12, no. 1. — Art. 1696. — DOI: 10.1038/s41597-025-05982-x. — URL: https://doi.org/10.1038/s41597-025-05982-x (дата обращения: 06.09.2026)."
23,10.1073/pnas.2319316121,https://doi.org/10.1073/pnas.2319316121,"Monitoring Surgical Nociception Using Multisensor Physiological Models / S. Subramanian, B. Tseng, M. del Carmen [et al.] // Proceedings of the National Academy of Sciences of the United States of America. — 2024. — Vol. 121, no. 40. — Art. e2319316121. — DOI: 10.1073/pnas.2319316121. — URL: https://doi.org/10.1073/pnas.2319316121 (дата обращения: 06.09.2026)."
24,10.1371/journal.pone.0140330,https://doi.org/10.1371/journal.pone.0140330,"Pain Intensity Recognition Rates via Biopotential Feature Patterns with Support Vector Machines / S. Gruss, R. Treister, P. Werner [et al.] // PLOS ONE. — 2015. — Vol. 10, no. 10. — Art. e0140330. — DOI: 10.1371/journal.pone.0140330. — URL: https://doi.org/10.1371/journal.pone.0140330 (дата обращения: 06.09.2026)."
25,10.1109/jstsp.2016.2535962,https://ieeexplore.ieee.org/document/7421991/,"Methods for Person-Centered Continuous Pain Intensity Assessment From Bio-Physiological Channels / M. Kächele, P. Thiam, M. Amirian [et al.] // IEEE Journal of Selected Topics in Signal Processing. — 2016. — Vol. 10, no. 5. — P. 854–864. — DOI: 10.1109/JSTSP.2016.2535962. — URL: https://ieeexplore.ieee.org/document/7421991/ (дата обращения: 06.09.2026)."
26,10.1109/embc.2018.8513575,https://pubmed.ncbi.nlm.nih.gov/30441611/,"Lopez-Martinez D., Picard R. Continuous Pain Intensity Estimation from Autonomic Signals with Recurrent Neural Networks // 2018 40th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC). — Honolulu : IEEE, 2018. — P. 5624–5627. — DOI: 10.1109/EMBC.2018.8513575. — URL: https://pubmed.ncbi.nlm.nih.gov/30441611/ (дата обращения: 06.09.2026)."
27,10.1371/journal.pone.0254108,https://doi.org/10.1371/journal.pone.0254108,"Pouromran F., Radhakrishnan S., Kamarthi S. Exploration of physiological sensors, features, and machine learning models for pain intensity estimation // PLOS ONE. — 2021. — Vol. 16, no. 7. — Art. e0254108. — DOI: 10.1371/journal.pone.0254108. — URL: https://doi.org/10.1371/journal.pone.0254108 (дата обращения: 06.09.2026)."
28,10.3390/s21123956,https://doi.org/10.3390/s21123956,"Kong Y., Posada-Quintero H. F., Chon K. H. Real-Time High-Level Acute Pain Detection Using a Smartphone and a Wrist-Worn Electrodermal Activity Sensor // Sensors. — 2021. — Vol. 21, no. 12. — Art. 3956. — DOI: 10.3390/s21123956. — URL: https://doi.org/10.3390/s21123956 (дата обращения: 06.09.2026)."
29,10.1371/journal.pone.0307970,https://doi.org/10.1371/journal.pone.0307970,"Uncertainty quantification in neural-network based pain intensity estimation / B. Ozek, Z. Lu, S. Radhakrishnan, S. Kamarthi // PLOS ONE. — 2024. — Vol. 19, no. 8. — Art. e0307970. — DOI: 10.1371/journal.pone.0307970. — URL: https://doi.org/10.1371/journal.pone.0307970 (дата обращения: 06.09.2026)."
30,10.1056/nejmoa1204471,https://pubmed.ncbi.nlm.nih.gov/23574118/,"An fMRI-Based Neurologic Signature of Physical Pain / T. D. Wager, L. Y. Atlas, M. A. Lindquist [et al.] // The New England Journal of Medicine. — 2013. — Vol. 368, no. 15. — P. 1388–1397. — DOI: 10.1056/NEJMoa1204471. — URL: https://pubmed.ncbi.nlm.nih.gov/23574118/ (дата обращения: 06.09.2026)."
31,10.1038/s41593-023-01338-z,https://pubmed.ncbi.nlm.nih.gov/37217725/,"First-in-human prediction of chronic pain state using intracranial neural biomarkers / P. Shirvalkar, J. Prosky, G. Chin [et al.] // Nature Neuroscience. — 2023. — Vol. 26, no. 6. — P. 1090–1099. — DOI: 10.1038/s41593-023-01338-z. — URL: https://pubmed.ncbi.nlm.nih.gov/37217725/ (дата обращения: 06.09.2026)."
32,10.1016/j.pain.2011.11.023,https://pubmed.ncbi.nlm.nih.gov/22188868/,"Compound action potentials recorded in the human spinal cord during neurostimulation for pain relief / J. L. Parker, D. M. Karantonis, P. S. Single [et al.] // Pain. — 2012. — Vol. 153, no. 3. — P. 593–601. — DOI: 10.1016/j.pain.2011.11.023. — URL: https://pubmed.ncbi.nlm.nih.gov/22188868/ (дата обращения: 06.09.2026)."
33,10.1016/s1474-4422(19)30414-4,https://pubmed.ncbi.nlm.nih.gov/31870766/,"Long-term safety and efficacy of closed-loop spinal cord stimulation to treat chronic back and leg pain (Evoke): a double-blind, randomised, controlled trial / N. Mekhail, R. M. Levy, T. R. Deer [et al.] // The Lancet Neurology. — 2020. — Vol. 19, no. 2. — P. 123–134. — DOI: 10.1016/S1474-4422(19)30414-4. — URL: https://pubmed.ncbi.nlm.nih.gov/31870766/ (дата обращения: 06.09.2026)."
34,10.1227/neu.0000000000001855,https://pubmed.ncbi.nlm.nih.gov/35179133/,"Development of Machine Learning-Based Models to Predict Treatment Response to Spinal Cord Stimulation / A. Hadanny, T. Harland, O. Khazen [et al.] // Neurosurgery. — 2022. — Vol. 90, no. 5. — P. 523–532. — DOI: 10.1227/neu.0000000000001855. — URL: https://pubmed.ncbi.nlm.nih.gov/35179133/ (дата обращения: 06.09.2026)."
35,10.1038/s41746-023-00892-x,https://pubmed.ncbi.nlm.nih.gov/37582839/,"Objective wearable measures correlate with self-reported chronic pain levels in people with spinal cord stimulation systems / D. G. Patterson, D. Wilson, M. A. Fishman [et al.] // npj Digital Medicine. — 2023. — Vol. 6. — Art. 146. — DOI: 10.1038/s41746-023-00892-x. — URL: https://pubmed.ncbi.nlm.nih.gov/37582839/ (дата обращения: 06.09.2026)."
36,10.1016/j.neurom.2023.10.188,https://pubmed.ncbi.nlm.nih.gov/38184342/,"Factors Predicting Clinically Relevant Pain Relief After Spinal Cord Stimulation for Patients With Chronic Low Back and/or Leg Pain: A Systematic Review With Meta-Analysis and Meta-Regression / F. Bastiaens, I. H. van de Wijgert, E. M. Bronkhorst [et al.] // Neuromodulation: Technology at the Neural Interface. — 2024. — Vol. 27, no. 1. — P. 70–82. — DOI: 10.1016/j.neurom.2023.10.188. — URL: https://pubmed.ncbi.nlm.nih.gov/38184342/ (дата обращения: 06.09.2026)."
37,10.1136/bmj.n71,https://pubmed.ncbi.nlm.nih.gov/33782057/,"The PRISMA 2020 statement: an updated guideline for reporting systematic reviews / M. J. Page, J. E. McKenzie, P. M. Bossuyt [et al.] // BMJ. — 2021. — Vol. 372. — Art. n71. — DOI: 10.1136/bmj.n71. — URL: https://pubmed.ncbi.nlm.nih.gov/33782057/ (дата обращения: 06.09.2026)."
38,10.1186/s13643-020-01542-z,https://doi.org/10.1186/s13643-020-01542-z,"PRISMA-S: an extension to the PRISMA Statement for Reporting Literature Searches in Systematic Reviews / M. L. Rethlefsen, S. Kirtley, S. Waffenschmidt [et al.] // Systematic Reviews. — 2021. — Vol. 10, no. 1. — Art. 39. — DOI: 10.1186/s13643-020-01542-z. — URL: https://doi.org/10.1186/s13643-020-01542-z (дата обращения: 06.09.2026)."
39,10.1136/bmj-2022-073538,https://doi.org/10.1136/bmj-2022-073538,"Transparent reporting of multivariable prediction models for individual prognosis or diagnosis: checklist for systematic reviews and meta-analyses (TRIPOD-SRMA) / K. I. E. Snell, B. Levis, J. A. A. Damen [et al.] // BMJ. — 2023. — Vol. 381. — Art. e073538. — DOI: 10.1136/bmj-2022-073538. — URL: https://doi.org/10.1136/bmj-2022-073538 (дата обращения: 06.09.2026)."
40,10.1136/bmj-2024-082505,https://pubmed.ncbi.nlm.nih.gov/40127903/,"PROBAST+AI: an updated quality, risk of bias, and applicability assessment tool for prediction models using regression or artificial intelligence methods / K. G. M. Moons, J. A. A. Damen, T. Kaul [et al.] // BMJ. — 2025. — Vol. 388. — Art. e082505. — DOI: 10.1136/bmj-2024-082505. — URL: https://pubmed.ncbi.nlm.nih.gov/40127903/ (дата обращения: 06.09.2026)."
41,10.7326/m18-0850,https://pubmed.ncbi.nlm.nih.gov/30178033/,"PRISMA Extension for Scoping Reviews (PRISMA-ScR): Checklist and Explanation / A. C. Tricco, E. Lillie, W. Zarin [et al.] // Annals of Internal Medicine. — 2018. — Vol. 169, no. 7. — P. 467–473. — DOI: 10.7326/M18-0850. — URL: https://pubmed.ncbi.nlm.nih.gov/30178033/ (дата обращения: 06.09.2026)."
42,10.2196/53026,https://doi.org/10.2196/53026,"Survey on Pain Detection Using Machine Learning Models: Narrative Review / R. Fang, E. Hosseini, R. Zhang [et al.] // JMIR AI. — 2025. — Vol. 4. — Art. e53026. — DOI: 10.2196/53026. — URL: https://doi.org/10.2196/53026 (дата обращения: 06.09.2026)."
43,10.3389/fphys.2023.1294577,https://doi.org/10.3389/fphys.2023.1294577,"Lu Z., Ozek B., Kamarthi S. Transformer encoder with multiscale deep learning for pain classification using physiological signals // Frontiers in Physiology. — 2023. — Vol. 14. — Art. 1294577. — DOI: 10.3389/fphys.2023.1294577. — URL: https://doi.org/10.3389/fphys.2023.1294577 (дата обращения: 06.09.2026)."
44,10.1145/3449068,https://doi.org/10.1145/3449068,"Chronic Pain Protective Behavior Detection with Deep Learning / C. Wang, T. A. Olugbade, A. Mathur [et al.] // ACM Transactions on Computing for Healthcare. — 2021. — Vol. 2, no. 3. — Art. 23. — P. 1–24. — DOI: 10.1145/3449068. — URL: https://doi.org/10.1145/3449068 (дата обращения: 06.09.2026)."
45,10.1038/ncomms14211,https://doi.org/10.1038/ncomms14211,"Quantifying cerebral contributions to pain beyond nociception / C.-W. Woo, L. Schmidt, A. Krishnan [et al.] // Nature Communications. — 2017. — Vol. 8. — Art. 14211. — DOI: 10.1038/ncomms14211. — URL: https://doi.org/10.1038/ncomms14211 (дата обращения: 06.09.2026)."
46,10.1111/ner.12968,https://doi.org/10.1111/ner.12968,"Evoked Compound Action Potentials Reveal Spinal Cord Dorsal Column Neuroanatomy / J. L. Parker, M. Obradovic, N. Hesam Shariati [et al.] // Neuromodulation: Technology at the Neural Interface. — 2020. — Vol. 23, no. 1. — P. 82–95. — DOI: 10.1111/ner.12968. — URL: https://doi.org/10.1111/ner.12968 (дата обращения: 06.09.2026)."
47,10.3389/fnins.2021.673998,https://doi.org/10.3389/fnins.2021.673998,"The Evoked Compound Action Potential as a Predictor for Perception in Chronic Pain Patients: Tools for Automatic Spinal Cord Stimulator Programming and Control / J. G. Pilitsis, K. V. Chakravarthy, A. J. Will [et al.] // Frontiers in Neuroscience. — 2021. — Vol. 15. — Art. 673998. — DOI: 10.3389/fnins.2021.673998. — URL: https://doi.org/10.3389/fnins.2021.673998 (дата обращения: 06.09.2026)."
48,10.1088/1741-2552/aceca4,https://doi.org/10.1088/1741-2552/aceca4,"Evoked compound action potentials during spinal cord stimulation: effects of posture and pulse width on signal features and neural activation within the spinal cord / M. K. Brucker-Hahn, H. J. Zander, A. J. Will [et al.] // Journal of Neural Engineering. — 2023. — Vol. 20, no. 4. — Art. 046028. — DOI: 10.1088/1741-2552/aceca4. — URL: https://doi.org/10.1088/1741-2552/aceca4 (дата обращения: 06.09.2026)."
49,10.1088/1741-2552/ad7f8b,https://doi.org/10.1088/1741-2552/ad7f8b,"Epidural spinal cord recordings (ESRs): sources of neural-appearing artifact in stimulation evoked compound action potentials / A. Deshmukh, M. Settell, K. Cheng [et al.] // Journal of Neural Engineering. — 2025. — Vol. 22, no. 1. — Art. 016050. — DOI: 10.1088/1741-2552/ad7f8b. — URL: https://doi.org/10.1088/1741-2552/ad7f8b (дата обращения: 06.09.2026)."
50,10.1109/tnsre.2023.3335100,https://doi.org/10.1109/TNSRE.2023.3335100,"Measures of Dosage for Spinal-Cord Electrical Stimulation: Review and Proposal / P. S. Single, J. B. Scott, D. Mugan [et al.] // IEEE Transactions on Neural Systems and Rehabilitation Engineering. — 2023. — Vol. 31. — P. 4653–4660. — DOI: 10.1109/TNSRE.2023.3335100. — URL: https://doi.org/10.1109/TNSRE.2023.3335100 (дата обращения: 06.09.2026)."
51,10.1136/rapm-2024-105346,https://doi.org/10.1136/rapm-2024-105346,"First evidence of a biomarker-based dose-response relationship in chronic pain using physiological closed-loop spinal cord stimulation / L. Muller, J. Pope, P. Verrills [et al.] // Regional Anesthesia & Pain Medicine. — 2025. — Vol. 50, no. 4. — P. 345–351. — DOI: 10.1136/rapm-2024-105346. — URL: https://doi.org/10.1136/rapm-2024-105346 (дата обращения: 06.09.2026)."
52,10.1038/s41598-025-92111-8,https://doi.org/10.1038/s41598-025-92111-8,"Machine learning predicts spinal cord stimulation surgery outcomes and reveals novel neural markers for chronic pain / J. Gopal, J. Bao, T. Harland [et al.] // Scientific Reports. — 2025. — Vol. 15, no. 1. — Art. 9279. — DOI: 10.1038/s41598-025-92111-8. — URL: https://doi.org/10.1038/s41598-025-92111-8 (дата обращения: 06.09.2026)."
53,10.1371/journal.pone.0337726,https://doi.org/10.1371/journal.pone.0337726,"Witjes B., Starmans M. P. A., Huygen F. J. P. M., de Vos C. C. Classification of chronic pain and spinal cord stimulation response using machine learning in magnetoencephalography data // PLOS ONE. — 2025. — Vol. 20, no. 12. — Art. e0337726. — DOI: 10.1371/journal.pone.0337726. — URL: https://doi.org/10.1371/journal.pone.0337726 (дата обращения: 06.09.2026)."
