record_id,study_id,title_abstract_decision,full_text_decision,primary_reason,retrieval_status,decision_basis,evidence_url,reviewer,checked_at,notes
R0025,,uncertain,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/24974775/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0026,S-10.1186/s12904-024-01526-z,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC11297625/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0027,,exclude,not_assessed,non_human_population,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/41366265/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0028,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/41930234/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0029,S-10.3389/fped.2026.1784197,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC13438283/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0030,,exclude,not_assessed,non_human_population,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/39788578/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0031,S-10.1016/j.heliyon.2024.e41558,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC11750553/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0032,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/33018277/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0033,S-10.1038/s41597-024-03878-w,include,include,included,retrieved_pmc,pmc_full_text_and_curated_evidence_map,https://pmc.ncbi.nlm.nih.gov/articles/PMC11436824/,single-pass AI-assisted review; author sign-off pending,2026-09-12,previously_curated_eligible_primary_study
R0034,S-10.1056/nejmoa1204471,include,include,included,retrieved_pmc,pmc_full_text_and_curated_evidence_map,https://pmc.ncbi.nlm.nih.gov/articles/PMC3691100/,single-pass AI-assisted review; author sign-off pending,2026-09-12,previously_curated_eligible_primary_study
R0035,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/41251282/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0036,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/36994457/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0037,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/42514252/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0038,,exclude,not_assessed,non_human_population,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/37104439/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0039,,exclude,not_assessed,data_labeling_software_not_pain_state_model,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/38199191/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0040,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/38607660/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0041,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/40516197/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0042,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/41924082/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0043,S-10.11817/j.issn.1672-7347.2026.250554,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC13071591/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0044,,exclude,not_assessed,secondary_conceptual_discussion,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/39338237/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0045,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/37416623/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0046,,exclude,not_assessed,secondary_narrative_review,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/42277490/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0047,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/42160993/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0048,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/42243763/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0049,,exclude,not_assessed,non_human_population,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/37205356/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0050,S-10.1111/nicc.70478,include,include,included,retrieved_pmc,pmc_full_text_and_curated_evidence_map,https://pmc.ncbi.nlm.nih.gov/articles/PMC13080763/,single-pass AI-assisted review; author sign-off pending,2026-09-12,previously_curated_eligible_primary_study
R0051,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/37004311/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0052,,exclude,not_assessed,clinical_outcome_association_without_signal_pattern_model,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/35643846/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0053,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/38334268/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0054,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/36085672/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0055,S-10.1007/978-3-031-16437-8_72,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC10018439/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0056,,exclude,not_assessed,non_human_population,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/42486150/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0057,,exclude,not_assessed,non_human_population,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/39511381/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0058,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/26034245/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0059,S-10.3390/biomimetics11010051,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12838980/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0060,S-10.1177/20552076241259664,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC11155325/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0061,,exclude,not_assessed,non_human_population,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/39717789/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0062,,exclude,not_assessed,non_human_population,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/41245089/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0063,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/34242161/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0064,S-10.1109/embc.2018.8512389,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC6436808/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0065,S-PMID-30713485,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC6352979/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0066,S-10.1038/s41598-025-97885-5,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12008390/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0067,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/42488365/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0068,,exclude,not_assessed,non_human_population,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/35688852/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0069,,exclude,not_assessed,non_human_population,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/39543343/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0070,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/36764062/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0071,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/31825861/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0072,S-10.1038/s41598-026-57148-3,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC13522443/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0073,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/36086417/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0074,S-10.1038/s41598-025-09046-3,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12218136/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0075,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/40039519/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0076,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://ieeexplore.ieee.org/document/8865626/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0077,S-10.3390/s21093273,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC8125973/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0078,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/41206302/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0079,S-10.1371/journal.pdig.0001301,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC13029810/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0080,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/42619466/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0081,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/32881257/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0082,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/41605141/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0083,S-10.3389/fmed.2024.1309720,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC11236545/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0084,S-10.3390/bioengineering13020141,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12938521/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0085,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/39932700/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0086,,exclude,not_assessed,no_biomedical_behavioral_neural_or_scs_signal,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/33108311/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0087,,exclude,not_assessed,protocol_or_planned_study_without_results,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/39380108/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0088,S-10.1145/3449068,include,include,included,checked_curated_source,curated_evidence_map_and_available_report,https://doi.org/10.1145/3449068,single-pass AI-assisted review; author sign-off pending,2026-09-12,previously_curated_eligible_primary_study
R0089,S-10.1038/s41598-025-13433-1,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12314105/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0090,S-10.1371/journal.pone.0337726,include,include,included,retrieved_pmc,pmc_full_text_and_curated_evidence_map,https://pmc.ncbi.nlm.nih.gov/articles/PMC12680202/,single-pass AI-assisted review; author sign-off pending,2026-09-12,previously_curated_eligible_primary_study
R0091,S-10.3389/frai.2022.942248,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC9582446/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0092,S-10.1038/s41598-025-12476-8,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12307811/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0093,,exclude,not_assessed,no_biomedical_behavioral_neural_or_scs_signal,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/11690728/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0094,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/38852434/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0095,,exclude,not_assessed,secondary_clinical_overview,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/24850309/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0096,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/42268376/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0097,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/41579132/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0098,,exclude,not_assessed,no_pain_related_target,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/36220864/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0099,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/37638532/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0100,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/35510947/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0101,,exclude,not_assessed,secondary_mechanistic_review,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/42670051/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0102,S-10.1038/s41598-024-71278-6,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC11369161/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0103,,exclude,not_assessed,comparative_treatment_series_without_signal_pattern_model,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/39831333/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0104,,exclude,not_assessed,non_human_population,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/41851189/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0105,,exclude,not_assessed,non_human_population,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/39754012/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0106,S-10.3390/s21144838,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC8309734/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0107,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/34876922/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0108,S-10.1016/j.pain.2011.11.023,include,include,included,checked_curated_source,curated_evidence_map_and_available_report,https://doi.org/10.1016/j.pain.2011.11.023,single-pass AI-assisted review; author sign-off pending,2026-09-12,previously_curated_eligible_primary_study
R0109,,exclude,not_assessed,secondary_perspective,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/35174358/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0110,S-10.3390/s26102947,include,include,included,retrieved_pmc,pmc_full_text_and_curated_evidence_map,https://pmc.ncbi.nlm.nih.gov/articles/PMC13210414/,single-pass AI-assisted review; author sign-off pending,2026-09-12,previously_curated_eligible_primary_study
R0111,S-10.1038/s41598-025-02247-w,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12085662/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0112,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/40982036/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0113,S-10.1109/bibm47256.2019.8983282,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC7423325/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0114,S-10.1136/bmjhci-2024-101283,uncertain,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12658508/,single-pass AI-assisted review; author sign-off pending,2026-09-12,insufficient_population_or_experiment_information_in_record
R0115,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/41504676/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0116,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/36085712/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0117,,exclude,not_assessed,no_biomedical_behavioral_neural_or_scs_signal,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/15621359/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0118,S-10.1038/s41597-025-05982-x,include,include,included,retrieved_pmc,pmc_full_text_and_curated_evidence_map,https://pmc.ncbi.nlm.nih.gov/articles/PMC12559740/,single-pass AI-assisted review; author sign-off pending,2026-09-12,previously_curated_eligible_primary_study
R0119,,exclude,not_assessed,no_biomedical_behavioral_neural_or_scs_signal,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/37440335/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0120,,exclude,not_assessed,protocol_or_planned_study_without_results,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/31831532/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0121,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/36995101/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0122,,exclude,not_assessed,biochemical_association_dataset_outside_prespecified_signal_modalities,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/36561927/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0123,S-10.1038/s41598-024-82631-0,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC11682341/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0124,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/39941230/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0125,S-10.3389/fncom.2016.00032,uncertain,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC4830829/,single-pass AI-assisted review; author sign-off pending,2026-09-12,insufficient_population_or_experiment_information_in_record
R0126,,exclude,not_assessed,non_human_population,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/35743636/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
