record_id,source,stream,pmid,doi,title,year,url,dedup_basis
R0051,PubMed,pain_ml,37004311,10.1016/j.pedn.2023.03.008,Assessment of postoperative pain in children with computer assisted facial expression analysis.,2023,https://pubmed.ncbi.nlm.nih.gov/37004311/,DOI -> PMID -> normalized title
R0052,PubMed,scs,35643846,10.1016/j.neurom.2022.04.039,Association Between Levels of Functional Disability and Health-Related Quality of Life With Spinal Cord Stimulation for Chronic Pain.,2023,https://pubmed.ncbi.nlm.nih.gov/35643846/,DOI -> PMID -> normalized title
R0053,PubMed,pain_ml,38334268,10.1111/jan.16063,Associations between facial expressions and observational pain in residents with dementia and chronic pain.,2024,https://pubmed.ncbi.nlm.nih.gov/38334268/,DOI -> PMID -> normalized title
R0054,PubMed,pain_ml,36085672,10.1109/embc48229.2022.9871536,ATLAS: An Adaptive Transfer Learning Based Pain Assessment System: A Real Life Unsupervised Pain Assessment Solution.,2022,https://pubmed.ncbi.nlm.nih.gov/36085672/,DOI -> PMID -> normalized title
R0055,PubMed,pain_ml,36939418,10.1007/978-3-031-16437-8_72,Attentional Generative Multimodal Network for Neonatal Postoperative Pain Estimation.,2022,https://pubmed.ncbi.nlm.nih.gov/36939418/,DOI -> PMID -> normalized title
R0056,PubMed,pain_ml,42486150,10.2460/javma.26.04.0301,Automated acute pain assessment in brachycephalic cats with ocular pain using the Feline Grimace Scale.,2026,https://pubmed.ncbi.nlm.nih.gov/42486150/,DOI -> PMID -> normalized title
R0057,PubMed,pain_ml,39511381,10.1038/s41598-024-78494-0,Automated acute pain prediction in domestic goats using deep learning-based models on video-recordings.,2024,https://pubmed.ncbi.nlm.nih.gov/39511381/,DOI -> PMID -> normalized title
R0058,PubMed,pain_ml,26034245,10.1542/peds.2015-0029,Automated Assessment of Children's Postoperative Pain Using Computer Vision.,2015,https://pubmed.ncbi.nlm.nih.gov/26034245/,DOI -> PMID -> normalized title
R0059,PubMed,pain_ml,41589968,10.3390/biomimetics11010051,Automated Facial Pain Assessment Using Dual-Attention CNN with Clinically Calibrated High-Reliability and Reproducibility Framework.,2026,https://pubmed.ncbi.nlm.nih.gov/41589968/,DOI -> PMID -> normalized title
R0060,PubMed,pain_ml,38846372,10.1177/20552076241259664,Automated facial recognition system using deep learning for pain assessment in adults with cerebral palsy.,2024,https://pubmed.ncbi.nlm.nih.gov/38846372/,DOI -> PMID -> normalized title
R0061,PubMed,pain_ml,39717789,10.3389/fvets.2024.1442634,Automated landmark-based cat facial analysis and its applications.,2024,https://pubmed.ncbi.nlm.nih.gov/39717789/,DOI -> PMID -> normalized title
R0062,PubMed,pain_ml,41245089,10.1093/pnasnexus/pgaf352,Automated pain assessment based on facial expression of free-moving mice.,2025,https://pubmed.ncbi.nlm.nih.gov/41245089/,DOI -> PMID -> normalized title
R0063,PubMed,pain_ml,34242161,10.1109/tbme.2021.3096137,Automated Pain Assessment in Children Using Electrodermal Activity and Video Data Fusion via Machine Learning.,2022,https://pubmed.ncbi.nlm.nih.gov/34242161/,DOI -> PMID -> normalized title
R0064,PubMed,pain_ml,30440413,10.1109/embc.2018.8512389,Automated Pain Assessment using Electrodermal Activity Data and Machine Learning.,2018,https://pubmed.ncbi.nlm.nih.gov/30440413/,DOI -> PMID -> normalized title
R0065,PubMed,pain_ml,30713485,NR,Automated Pain Detection in Facial Videos of Children using Human-Assisted Transfer Learning.,2018,https://pubmed.ncbi.nlm.nih.gov/30713485/,DOI -> PMID -> normalized title
R0066,PubMed,pain_ml,40251301,10.1038/s41598-025-97885-5,Automated pain detection using facial expression in adult patients with a customized spatial temporal attention long short-term memory (STA-LSTM) network.,2025,https://pubmed.ncbi.nlm.nih.gov/40251301/,DOI -> PMID -> normalized title
R0067,PubMed,pain_ml,42488365,10.1007/s11571-026-10517-0,Automated pain severity detection by using adaptive band-wise GNN technique with EEG signals.,2026,https://pubmed.ncbi.nlm.nih.gov/42488365/,DOI -> PMID -> normalized title
R0068,PubMed,pain_ml,35688852,10.1038/s41598-022-13348-1,Automated recognition of pain in cats.,2022,https://pubmed.ncbi.nlm.nih.gov/35688852/,DOI -> PMID -> normalized title
R0069,PubMed,pain_ml,39543343,10.1038/s41598-024-78406-2,Automated video-based pain recognition in cats using facial landmarks.,2024,https://pubmed.ncbi.nlm.nih.gov/39543343/,DOI -> PMID -> normalized title
R0070,PubMed; previous evidence map,pain_ml; seed_evidence_map,36764062,10.1016/j.cmpb.2023.107365,Automatic assessment of pain based on deep learning methods: A systematic review.,2023,https://pubmed.ncbi.nlm.nih.gov/36764062/,DOI -> PMID -> normalized title
R0071,PubMed,pain_ml,31825861,10.1109/tpami.2019.2958341,Automatic Detection of Pain from Facial Expressions: A Survey.,2021,https://pubmed.ncbi.nlm.nih.gov/31825861/,DOI -> PMID -> normalized title
R0072,PubMed,pain_ml,42288571,10.1038/s41598-026-57148-3,Automatic pain assessment from facial action units in ICU patients via various machine learning models.,2026,https://pubmed.ncbi.nlm.nih.gov/42288571/,DOI -> PMID -> normalized title
R0073,PubMed,pain_ml,36086417,10.1109/embc48229.2022.9871990,Automatic pain assessment on cancer patients using physiological signals recorded in real-world contexts.,2022,https://pubmed.ncbi.nlm.nih.gov/36086417/,DOI -> PMID -> normalized title
R0074,PubMed,pain_ml,40595349,10.1038/s41598-025-09046-3,Automatic pain classification in older patients with hip fracture based on multimodal information fusion.,2025,https://pubmed.ncbi.nlm.nih.gov/40595349/,DOI -> PMID -> normalized title
R0075,PubMed,pain_ml,40039519,10.1109/embc53108.2024.10781536,Automatic Pain Detection Algorithm for Patients with Cancer Pain Using Wristwatch Wearable Devices.,2024,https://pubmed.ncbi.nlm.nih.gov/40039519/,DOI -> PMID -> normalized title
R0076,previous evidence map,seed_evidence_map,NR,10.1109/taffc.2019.2946774,"Automatic Recognition Methods Supporting Pain Assessment: A Survey / P. Werner, D. Lopez-Martinez, S. Walter [et al.]",,https://ieeexplore.ieee.org/document/8865626/,DOI -> PMID -> normalized title
R0077,PubMed,datasets,34068462,10.3390/s21093273,Automatic vs. Human Recognition of Pain Intensity from Facial Expression on the X-ITE Pain Database.,2021,https://pubmed.ncbi.nlm.nih.gov/34068462/,DOI -> PMID -> normalized title
R0078,PubMed,pain_ml,41206302,10.1016/j.pmn.2025.10.003,Autonomic Parameters Correlated to Acute Postoperative Pain in the Postanesthesia Care Unit: A Systematic Review.,2026,https://pubmed.ncbi.nlm.nih.gov/41206302/,DOI -> PMID -> normalized title
R0079,PubMed,pain_ml,41894538,10.1371/journal.pdig.0001301,AVPENet: Pain estimation from audio-visual fusion of non-speech sounds.,2026,https://pubmed.ncbi.nlm.nih.gov/41894538/,DOI -> PMID -> normalized title
R0080,PubMed,pain_ml,42619466,10.1016/j.ostima.2025.100381,Beyond the algorithms: Challenges in predicting knee osteoarthritis pain from a machine learning point of view.,2026,https://pubmed.ncbi.nlm.nih.gov/42619466/,DOI -> PMID -> normalized title
R0081,PubMed,scs,32881257,10.1111/ner.13252,Biomarker Optimization of Spinal Cord Stimulation Therapies.,2021,https://pubmed.ncbi.nlm.nih.gov/32881257/,DOI -> PMID -> normalized title
R0082,PubMed,scs,41605141,10.1109/tnsre.2026.3658636,Biphasic Electrostimulation Artifact Model for ECAP Extraction in Spinal Cord Stimulation.,2026,https://pubmed.ncbi.nlm.nih.gov/41605141/,DOI -> PMID -> normalized title
R0083,PubMed,pain_ml,38994344,10.3389/fmed.2024.1309720,Calibration trial of an innovative medical device (NEVVA© ) for the evaluation of pain in non-communicating patients in the intensive care unit.,2024,https://pubmed.ncbi.nlm.nih.gov/38994344/,DOI -> PMID -> normalized title
R0084,PubMed,pain_ml,41749681,10.3390/bioengineering13020141,Can Machines Identify Pain Effects? A Machine Learning Proof of Concept to Identify EMG Pain Signature.,2026,https://pubmed.ncbi.nlm.nih.gov/41749681/,DOI -> PMID -> normalized title
R0085,PubMed,scs,39932700,10.1177/17531934241307515,Cervical spinal cord stimulation for treatment of upper limb paralysis: a narrative review.,2025,https://pubmed.ncbi.nlm.nih.gov/39932700/,DOI -> PMID -> normalized title
R0086,PubMed,datasets,33108311,10.2196/18659,Characterizing Chronic Pain Episodes in Clinical Text at Two Health Care Systems: Comprehensive Annotation and Corpus Analysis.,2020,https://pubmed.ncbi.nlm.nih.gov/33108311/,DOI -> PMID -> normalized title
R0087,PubMed,pain_ml,39380108,10.1186/s13018-024-05134-8,ChatGPT-4 and wearable device assisted Intelligent Exercise Therapy for co-existing Sarcopenia and Osteoarthritis (GAISO): a feasibility study and design for a randomized controlled PROBE non-inferiority trial.,2024,https://pubmed.ncbi.nlm.nih.gov/39380108/,DOI -> PMID -> normalized title
R0088,previous evidence map,seed_evidence_map,NR,10.1145/3449068,"Chronic Pain Protective Behavior Detection with Deep Learning / C. Wang, T. A. Olugbade, A. Mathur [et al.]",,https://doi.org/10.1145/3449068,DOI -> PMID -> normalized title
R0089,PubMed,pain_ml,40745441,10.1038/s41598-025-13433-1,Classification accuracy of pain intensity induced by leg blood flow restriction during walking using machine learning based on electroencephalography.,2025,https://pubmed.ncbi.nlm.nih.gov/40745441/,DOI -> PMID -> normalized title
R0090,PubMed; previous evidence map,scs; seed_evidence_map,41348694,10.1371/journal.pone.0337726,Classification of chronic pain and spinal cord stimulation response using machine learning in magnetoencephalography data.,2025,https://pubmed.ncbi.nlm.nih.gov/41348694/,DOI -> PMID -> normalized title
R0091,PubMed,pain_ml,36277167,10.3389/frai.2022.942248,Classification of elderly pain severity from automated video clip facial action unit analysis: A study from a Thai data repository.,2022,https://pubmed.ncbi.nlm.nih.gov/36277167/,DOI -> PMID -> normalized title
R0092,PubMed,pain_ml,40731063,10.1038/s41598-025-12476-8,Classifying social and physical pain from multimodal physiological signals using machine learning.,2025,https://pubmed.ncbi.nlm.nih.gov/40731063/,DOI -> PMID -> normalized title
R0093,previous evidence map,seed_evidence_map,NR,10.1016/s0304-3959(01)00349-9,"Clinical importance of changes in chronic pain intensity measured on an 11-point numerical pain rating scale / J. T. Farrar, J. P. Young Jr., L. LaMoreaux [et al.]",,https://pubmed.ncbi.nlm.nih.gov/11690728/,DOI -> PMID -> normalized title
R0094,PubMed,scs,38852434,10.1016/j.clinph.2024.05.007,Clinical neurophysiology in the treatment of movement disorders: IFCN handbook chapter.,2024,https://pubmed.ncbi.nlm.nih.gov/38852434/,DOI -> PMID -> normalized title
R0095,PubMed,scs,24850309,10.1007/s13311-014-0280-3,Closed-loop neurostimulation: the clinical experience.,2014,https://pubmed.ncbi.nlm.nih.gov/24850309/,DOI -> PMID -> normalized title
R0096,PubMed,scs,42268376,10.1093/pm/pnag039,Closed-loop SCS and sensing: now and in the future.,2026,https://pubmed.ncbi.nlm.nih.gov/42268376/,DOI -> PMID -> normalized title
R0097,PubMed,scs,41579132,10.1016/j.neurom.2025.12.002,Closed-loop Spinal Cord Stimulation for Chronic Pain: A Systematic Review and Meta-Analysis.,2026,https://pubmed.ncbi.nlm.nih.gov/41579132/,DOI -> PMID -> normalized title
R0098,PubMed,scs,36220864,10.1038/s41598-022-21264-7,Closed-loop stimulation of lateral cervical spinal cord in upper-limb amputees to enable sensory discrimination: a case study.,2022,https://pubmed.ncbi.nlm.nih.gov/36220864/,DOI -> PMID -> normalized title
R0099,PubMed,scs,37638532,10.1111/papr.13290,Closing the loop and raising the bar: Automated control systems in neuromodulation.,2024,https://pubmed.ncbi.nlm.nih.gov/37638532/,DOI -> PMID -> normalized title
R0100,PubMed,scs,35510947,10.1227/neu.0000000000001989,Commentary: Machine Learning to Predict Successful Opioid Dose Reduction or Stabilization After Spinal Cord Stimulation.,2022,https://pubmed.ncbi.nlm.nih.gov/35510947/,DOI -> PMID -> normalized title
R0101,PubMed,scs,42670051,10.1002/brb3.71713,Comorbidity Mechanism and Management of Chronic Low Back Pain and Major Depressive Disorder: From Neural Circuit Remodeling to Precision Medicine.,2026,https://pubmed.ncbi.nlm.nih.gov/42670051/,DOI -> PMID -> normalized title
R0102,PubMed,pain_ml,39223215,10.1038/s41598-024-71278-6,Comparative analysis of artificial intelligence and expert assessments in detecting neonatal procedural pain.,2024,https://pubmed.ncbi.nlm.nih.gov/39223215/,DOI -> PMID -> normalized title
R0103,PubMed,scs,39831333,10.1111/papr.70010,Comparative efficacy of closed-loop spinal cord stimulation and dorsal root ganglion stimulation through combination trialing for cancer pain - A retrospective case series.,2025,https://pubmed.ncbi.nlm.nih.gov/39831333/,DOI -> PMID -> normalized title
R0104,PubMed,pain_ml,41851189,10.1038/s41598-026-39604-2,Comparing the performance of deep learning video-based models and trained veterinarians in cattle pain assessment.,2026,https://pubmed.ncbi.nlm.nih.gov/41851189/,DOI -> PMID -> normalized title
R0105,PubMed,pain_ml,39754012,10.1038/s41598-024-83950-y,Comparison between AI and human expert performance in acute pain assessment in sheep.,2025,https://pubmed.ncbi.nlm.nih.gov/39754012/,DOI -> PMID -> normalized title
R0106,PubMed,pain_ml,34300578,10.3390/s21144838,Comparison of Feature Extraction Methods for Physiological Signals for Heat-Based Pain Recognition.,2021,https://pubmed.ncbi.nlm.nih.gov/34300578/,DOI -> PMID -> normalized title
R0107,PubMed,pain_ml,34876922,10.1155/2021/7344102,Complexity Assessment of Chronic Pain in Elderly Knee Osteoarthritis Based on Neuroimaging Recognition Techniques.,2021,https://pubmed.ncbi.nlm.nih.gov/34876922/,DOI -> PMID -> normalized title
R0108,previous evidence map,seed_evidence_map,NR,10.1016/j.pain.2011.11.023,"Compound action potentials recorded in the human spinal cord during neurostimulation for pain relief / J. L. Parker, D. M. Karantonis, P. S. Single [et al.]",,https://pubmed.ncbi.nlm.nih.gov/22188868/,DOI -> PMID -> normalized title
R0109,PubMed,pain_ml,35174358,10.3389/fpain.2021.788606,"Computer mediated automatic detection of pain-related behavior: prospect, progress, perils.",2021,https://pubmed.ncbi.nlm.nih.gov/35174358/,DOI -> PMID -> normalized title
R0110,2026 evidence-map update,2026_update,42197756,10.3390/s26102947,Connectivity-Based Pain Recognition from fNIRS: Parsimonious Subject-Independent Classification,2026,https://pubmed.ncbi.nlm.nih.gov/42197756/,DOI -> PMID -> normalized title
R0111,PubMed,pain_ml,40382393,10.1038/s41598-025-02247-w,Construction and validation of a pain facial expressions dataset for critically ill children.,2025,https://pubmed.ncbi.nlm.nih.gov/40382393/,DOI -> PMID -> normalized title
R0112,PubMed,scs,40982036,10.1007/s10143-025-03769-7,Continuous electrical stimulation of the dorsal root ganglion (drg-s) as a salvation therapy in patients previously treated with spinal cord stimulation. systematic review and pooled analysis.,2025,https://pubmed.ncbi.nlm.nih.gov/40982036/,DOI -> PMID -> normalized title
R0113,PubMed,pain_ml,32793402,10.1109/bibm47256.2019.8983282,Continuous Pain Assessment Using Ensemble Feature Selection from Wearable Sensor Data.,2019,https://pubmed.ncbi.nlm.nih.gov/32793402/,DOI -> PMID -> normalized title
R0114,PubMed,pain_ml,41274668,10.1136/bmjhci-2024-101283,Continuous wireless sensor monitoring with applied diagnostics: Clinical Sensor Pain Scale and Automated Sensor Pain Scale in the NICU.,2025,https://pubmed.ncbi.nlm.nih.gov/41274668/,DOI -> PMID -> normalized title
R0115,PubMed,scs,41504676,10.1016/j.neurom.2025.11.011,Control Signals in Closed-Loop Spinal Cord Stimulation in Patients with Chronic Pain: A Scoping Review.,2026,https://pubmed.ncbi.nlm.nih.gov/41504676/,DOI -> PMID -> normalized title
R0116,PubMed,pain_ml,36085712,10.1109/embc48229.2022.9871770,Convolution Neural Network for Pain Intensity Assessment from Facial Expression.,2022,https://pubmed.ncbi.nlm.nih.gov/36085712/,DOI -> PMID -> normalized title
