record_id,study_id,model_id,ref_no,article_ref_no,doi,pmid,year,synthesis_role,population,pain_type,n_unique_subjects,n_sessions,n_windows,target_name,target_source,target_timing,modality,sensor,sampling_rate,missingness,preprocessing,segmentation,features,architecture,fusion,split_unit,outer_validation,inner_tuning,external_validation,person_level_validation,clinical_sample,metrics,confidence_intervals,calibration,uncertainty,subgroup_analysis,confounders,data_access,code_access,funding,conflicts,evidence_basis,evidence_url,reviewer_notes
R0055,S-10.1007/978-3-031-16437-8_72,M144-01,NR,NR,10.1007/978-3-031-16437-8_72,36939418,2022,diagnostic_or_prognostic_model,clinical intensive care,clinical intensive care,NR,NR,NR,reported or annotated pain intensity,NR,concurrent or study-defined; exact timing NR,face/video; movement/IMU,face/video; movement/IMU,NR,NR,NR,NR,NR,NR,multimodal,NR,NR,NR,NR,NR,yes,accuracy; AUC,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC10018439/,Single-pass extraction; author verification required
R0059,S-10.3390/biomimetics11010051,M068-01,NR,NR,10.3390/biomimetics11010051,41589968,2026,diagnostic_or_prognostic_model,clinical human,clinical human,NR,NR,NR,pain-related state,participant self-report,concurrent or study-defined; exact timing NR,face/video,face/video,NR,NR,NR,NR,NR,CNN; deep neural network,NA unimodal or NR,explicit person-level evaluation,explicit person-level evaluation,NR,NR,yes,yes,accuracy; F1,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12838980/,Single-pass extraction; author verification required
R0060,S-10.1177/20552076241259664,M069-01,NR,NR,10.1177/20552076241259664,38846372,2024,diagnostic_or_prognostic_model,clinical human,clinical human,NR,NR,NR,observed pain behavior,participant self-report,concurrent or study-defined; exact timing NR,face/video,face/video,NR,NR,NR,NR,NR,deep neural network,NA unimodal or NR,NR,NR,NR,NR,NR,yes,accuracy; sensitivity; specificity; F1,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC11155325/,Single-pass extraction; author verification required
R0064,S-10.1109/embc.2018.8512389,M145-01,NR,NR,10.1109/embc.2018.8512389,30440413,2018,diagnostic_or_prognostic_model,clinical human,clinical human,NR,NR,NR,pain-related state,NR,concurrent or study-defined; exact timing NR,EDA/SP,EDA/SP,NR,NR,NR,NR,NR,NR,NA unimodal or NR,NR,NR,NR,NR,NR,yes,sensitivity; specificity,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC6436808/,Single-pass extraction; author verification required
R0065,S-PMID-30713485,M146-01,NR,NR,NR,30713485,2018,diagnostic_or_prognostic_model,clinical pediatric,clinical pediatric,NR,NR,NR,observed pain behavior,NR,concurrent or study-defined; exact timing NR,face/video; movement/IMU,face/video; movement/IMU,NR,NR,NR,NR,NR,NR,multimodal,NR,NR,NR,NR,NR,yes,AUC,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC6352979/,Single-pass extraction; author verification required
R0066,S-10.1038/s41598-025-97885-5,M070-01,NR,NR,10.1038/s41598-025-97885-5,40251301,2025,diagnostic_or_prognostic_model,clinical human,clinical human,160,NR,NR,reported or annotated pain intensity,participant self-report,concurrent or study-defined; exact timing NR,face/video,face/video,NR,NR,NR,NR,NR,RNN/LSTM; deep neural network,NA unimodal or NR,NR,NR,NR,NR,NR,yes,accuracy; sensitivity; F1,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12008390/,Single-pass extraction; author verification required
R0072,S-10.1038/s41598-026-57148-3,M071-01,NR,NR,10.1038/s41598-026-57148-3,42288571,2026,diagnostic_or_prognostic_model,clinical intensive care,clinical intensive care,NR,NR,NR,observed pain behavior,NR,concurrent or study-defined; exact timing NR,PPG/BVP/cardiorespiratory; face/video,PPG/BVP/cardiorespiratory; face/video,NR,NR,NR,NR,NR,NR,multimodal,NR,NR,NR,NR,NR,yes,accuracy; F1,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC13522443/,Single-pass extraction; author verification required
R0074,S-10.1038/s41598-025-09046-3,M072-01,NR,NR,10.1038/s41598-025-09046-3,40595349,2025,diagnostic_or_prognostic_model,clinical human,clinical human,NR,NR,NR,pain-related state,NR,concurrent or study-defined; exact timing NR,face/video; speech/audio,face/video; speech/audio,NR,NR,NR,NR,NR,RNN/LSTM,multimodal,independent cohort or cross-dataset evaluation,independent cohort or cross-dataset evaluation,NR,yes,yes,yes,accuracy,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12218136/,Single-pass extraction; author verification required
R0077,S-10.3390/s21093273,M073-01,NR,NR,10.3390/s21093273,34068462,2021,diagnostic_or_prognostic_model,experimental human,experimental human,NR,NR,NR,reported or annotated pain intensity,experimental or clinical stimulus/procedure,concurrent or study-defined; exact timing NR,face/video,face/video,NR,NR,NR,NR,NR,CNN; random forest,NA unimodal or NR,NR,NR,NR,NR,NR,no,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC8125973/,Single-pass extraction; author verification required
R0079,S-10.1371/journal.pdig.0001301,M074-01,NR,NR,10.1371/journal.pdig.0001301,41894538,2026,diagnostic_or_prognostic_model,clinical neonatal/infant,clinical neonatal/infant,428,NR,NR,observed pain behavior,participant self-report,concurrent or study-defined; exact timing NR,face/video; speech/audio,face/video; speech/audio,NR,NR,NR,NR,NR,CNN; transformer; deep neural network,multimodal,NR,NR,NR,NR,NR,yes,accuracy; MAE; correlation,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC13029810/,Single-pass extraction; author verification required
R0083,S-10.3389/fmed.2024.1309720,M075-01,NR,NR,10.3389/fmed.2024.1309720,38994344,2024,diagnostic_or_prognostic_model,clinical intensive care,clinical intensive care,NR,NR,NR,observed pain behavior,observer or clinical scale,concurrent or study-defined; exact timing NR,face/video; movement/IMU,face/video; movement/IMU,NR,NR,NR,NR,NR,NR,multimodal,LOSO/LOPO,LOSO/LOPO,NR,no,yes,yes,AUC; sensitivity; specificity,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC11236545/,Single-pass extraction; author verification required
R0084,S-10.3390/bioengineering13020141,M076-01,NR,NR,10.3390/bioengineering13020141,41749681,2026,diagnostic_or_prognostic_model,human population NR,human population NR,NR,NR,NR,pain-related state,NR,concurrent or study-defined; exact timing NR,EMG,EMG,NR,NR,NR,NR,NR,gradient boosting,NA unimodal or NR,NR,NR,NR,NR,NR,no,sensitivity,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12938521/,Single-pass extraction; author verification required
R0088,S-10.1145/3449068,M044-01,44,31,10.1145/3449068,NR,2021,diagnostic_or_prognostic_model,chronic low-back pain,chronic low-back pain,30,NR,NR,protective behavior,NR,concurrent or study-defined; exact timing NR,"IMU, EMG","IMU, EMG",NR,NR,NR,NR,NR,deep neural network,NA unimodal or NR,LOSO,LOSO,NR,no,yes,no,NR,NR,no,no,NR,Behavior is not subjective intensity,request,NR,NR,NR,curated evidence map and available report,https://doi.org/10.1145/3449068,Behavior is not subjective intensity
R0089,S-10.1038/s41598-025-13433-1,M077-01,NR,NR,10.1038/s41598-025-13433-1,40745441,2025,diagnostic_or_prognostic_model,experimental human,experimental human,NR,NR,NR,reported or annotated pain intensity,participant self-report,concurrent or study-defined; exact timing NR,EEG; fMRI/MRI; movement/IMU,EEG; fMRI/MRI; movement/IMU,NR,NR,NR,NR,NR,random forest; gradient boosting,multimodal,NR,NR,NR,NR,NR,no,accuracy,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12314105/,Single-pass extraction; author verification required
R0090,S-10.1371/journal.pone.0337726,M053-01,53,43,10.1371/journal.pone.0337726,41348694,2025,scs_prediction_or_longitudinal,SCS + chronic pain + controls,SCS + chronic pain + controls,75,NR,NR,group/SCS response,participant self-report,concurrent or study-defined; exact timing NR,MEG,MEG,NR,NR,NR,NR,NR,NR,NA unimodal or NR,patient-level CV,patient-level CV,NR,no,yes,yes,accuracy; correlation,NR,no,no,NR,Weak association with NRS in SCS group,closed,NR,NR,NR,curated evidence map and available report,https://pmc.ncbi.nlm.nih.gov/articles/PMC12680202/,Weak association with NRS in SCS group
R0091,S-10.3389/frai.2022.942248,M078-01,NR,NR,10.3389/frai.2022.942248,36277167,2022,diagnostic_or_prognostic_model,clinical dementia,clinical dementia,NR,NR,NR,observed pain behavior,observer or clinical scale,concurrent or study-defined; exact timing NR,face/video,face/video,NR,NR,NR,NR,NR,SVM; logistic regression,NA unimodal or NR,NR,NR,NR,NR,NR,yes,accuracy,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC9582446/,Single-pass extraction; author verification required
R0092,S-10.1038/s41598-025-12476-8,M079-01,NR,NR,10.1038/s41598-025-12476-8,40731063,2025,diagnostic_or_prognostic_model,experimental human,experimental human,NR,NR,NR,reported or annotated pain intensity,experimental or clinical stimulus/procedure,concurrent or study-defined; exact timing NR,EDA/SP; ECG; PPG/BVP/cardiorespiratory; face/video,EDA/SP; ECG; PPG/BVP/cardiorespiratory; face/video,NR,NR,NR,NR,NR,SVM; random forest; logistic regression,multimodal,NR,NR,NR,NR,NR,no,accuracy,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12307811/,Single-pass extraction; author verification required
R0102,S-10.1038/s41598-024-71278-6,M080-01,NR,NR,10.1038/s41598-024-71278-6,39223215,2024,diagnostic_or_prognostic_model,clinical neonatal/infant,clinical neonatal/infant,NR,NR,NR,observed pain behavior,experimental or clinical stimulus/procedure,concurrent or study-defined; exact timing NR,face/video,face/video,NR,NR,NR,NR,NR,NR,NA unimodal or NR,NR,NR,NR,NR,NR,yes,correlation,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC11369161/,Single-pass extraction; author verification required
R0106,S-10.3390/s21144838,M081-01,NR,NR,10.3390/s21144838,34300578,2021,diagnostic_or_prognostic_model,human population NR,human population NR,52,NR,NR,pain-related state,participant self-report,concurrent or study-defined; exact timing NR,NR,NR,NR,NR,NR,NR,NR,deep neural network,NA unimodal or NR,NR,NR,NR,NR,NR,no,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC8309734/,Single-pass extraction; author verification required
R0108,S-10.1016/j.pain.2011.11.023,M032-01,32,35,10.1016/j.pain.2011.11.023,NR,2012,scs_technical_control,SCS chronic pain,SCS chronic pain,NR,NR,NR,ECAP/recruitment,recorded evoked neural response,concurrent or study-defined; exact timing NR,spinal ECAP,spinal ECAP,NR,NR,NR,NR,NR,NR,NA unimodal or NR,NA physiology,NA physiology,NR,no,NR,yes,NR,NR,NA,NA,NR,"ECAP is recruitment, not pain intensity",NR,NR,NR,NR,curated evidence map and available report,https://doi.org/10.1016/j.pain.2011.11.023,"ECAP is recruitment, not pain intensity"
R0110,S-10.3390/s26102947,M057-01,57,47,10.3390/s26102947,42197756,2026,diagnostic_or_prognostic_model,acute healthy,acute healthy,65,NR,NR,three pain levels,reported in PubMed abstract/full text,concurrent or study-defined; exact timing NR,fNIRS,fNIRS,NR,NR,NR,NR,NR,NR,NA unimodal or NR,LOSO,LOSO,NR,no,yes,no,NR,NR,no,no,NR,High-pain recall about 50 percent despite 69.6 percent accuracy,open article,NR,NR,NR,curated evidence map and available report,https://pmc.ncbi.nlm.nih.gov/articles/PMC13210414/,Connectivity-Based Pain Recognition from fNIRS: Parsimonious Subject-Independent Classification. High-pain recall about 50 percent despite 69.6 percent accuracy
R0111,S-10.1038/s41598-025-02247-w,M082-01,NR,NR,10.1038/s41598-025-02247-w,40382393,2025,dataset_descriptor,clinical intensive care,clinical intensive care,53,NR,NR,pain-related state,NR,concurrent or study-defined; exact timing NR,face/video,face/video,NR,NR,NR,NR,NR,deep neural network,NA unimodal or NR,NR,NR,NR,NR,NR,yes,accuracy; F1,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12085662/,Single-pass extraction; author verification required
R0113,S-10.1109/bibm47256.2019.8983282,M147-01,NR,NR,10.1109/bibm47256.2019.8983282,32793402,2019,diagnostic_or_prognostic_model,human population NR,human population NR,NR,NR,NR,pain-related state,NR,concurrent or study-defined; exact timing NR,movement/IMU,movement/IMU,NR,NR,NR,NR,NR,NR,NA unimodal or NR,NR,NR,NR,NR,NR,no,correlation,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC7423325/,Single-pass extraction; author verification required
R0114,S-10.1136/bmjhci-2024-101283,M083-01,NR,NR,10.1136/bmjhci-2024-101283,41274668,2025,diagnostic_or_prognostic_model,clinical intensive care,clinical intensive care,32,NR,NR,pain-related state,observer or clinical scale,concurrent or study-defined; exact timing NR,PPG/BVP/cardiorespiratory; face/video; speech/audio; movement/IMU,PPG/BVP/cardiorespiratory; face/video; speech/audio; movement/IMU,NR,NR,NR,NR,NR,NR,multimodal,NR,NR,NR,NR,NR,yes,correlation; agreement/ICC,reported,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12658508/,Single-pass extraction; author verification required
R0118,S-10.1038/s41597-025-05982-x,M022-01,22,22,10.1038/s41597-025-05982-x,41145516,2025,dataset_descriptor,39 healthy volunteers; pain and motor tasks,experimental thermal pain; separate motor task,39,NR,NR,NRS intensity/unpleasantness,experimental or clinical stimulus/procedure,concurrent or study-defined; exact timing NR,"brain-spinal fMRI, pulse, respiration","brain-spinal fMRI, pulse, respiration",NR,NR,NR,NR,NR,NR,NA unimodal or NR,NA descriptor,NA descriptor,NR,NA,NR,no,NR,NR,NA,NA,NR,CoSpine pain cohort; motor cohort is separate,open,NR,NR,NR,curated evidence map and available report,https://pmc.ncbi.nlm.nih.gov/articles/PMC12559740/,"CoSpine is an experimental healthy-volunteer dataset, not a clinical pain cohort"
R0123,S-10.1038/s41598-024-82631-0,M084-01,NR,NR,10.1038/s41598-024-82631-0,39732802,2024,diagnostic_or_prognostic_model,clinical neonatal/infant,clinical neonatal/infant,107,NR,NR,pain-related state,experimental or clinical stimulus/procedure,concurrent or study-defined; exact timing NR,EEG,EEG,NR,NR,NR,NR,NR,SVM,NA unimodal or NR,NR,NR,NR,NR,NR,yes,accuracy,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC11682341/,Single-pass extraction; author verification required
R0125,S-10.3389/fncom.2016.00032,M085-01,NR,NR,10.3389/fncom.2016.00032,27148029,2016,diagnostic_or_prognostic_model,experimental human,experimental human,NR,NR,NR,reported or annotated pain intensity,participant self-report,concurrent or study-defined; exact timing NR,EEG; fMRI/MRI,EEG; fMRI/MRI,NR,NR,NR,NR,NR,SVM,multimodal,NR,NR,NR,NR,NR,no,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC4830829/,Single-pass extraction; author verification required
R0128,S-10.3389/fmed.2022.851690,M086-01,NR,NR,10.3389/fmed.2022.851690,35372435,2022,diagnostic_or_prognostic_model,clinical human,clinical human,63,NR,NR,pain-related state,NR,concurrent or study-defined; exact timing NR,face/video,face/video,NR,NR,NR,NR,NR,CNN; RNN/LSTM; deep neural network,NA unimodal or NR,NR,NR,NR,NR,NR,yes,accuracy; sensitivity; F1,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC8968070/,Single-pass extraction; author verification required
R0131,S-10.1097/j.pain.0000000000002900,M087-01,NR,NR,10.1097/j.pain.0000000000002900,37146182,2023,diagnostic_or_prognostic_model,clinical neonatal/infant,clinical neonatal/infant,4104,NR,NR,pain-related state,NR,concurrent or study-defined; exact timing NR,face/video; movement/IMU,face/video; movement/IMU,NR,NR,NR,NR,NR,deep neural network,multimodal,NR,NR,NR,NR,NR,yes,accuracy; F1,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC10436358/,Single-pass extraction; author verification required
R0132,S-10.1109/fg.2018.00044,M021-01,21,21,10.1109/fg.2018.00044,NR,2018,dataset_descriptor,acute healthy,acute healthy,20,NR,NR,electrical stimulus class,NR,concurrent or study-defined; exact timing NR,"RGB, depth, thermal","RGB, depth, thermal",NR,NR,NR,NR,NR,NR,NA unimodal or NR,NA descriptor,NA descriptor,NR,NA,NR,no,NR,NR,NA,NA,NR,MIntPAIN,request/EULA,NR,NR,NR,curated evidence map and available report,https://doi.org/10.1109/fg.2018.00044,MIntPAIN
R0137,S-10.3389/fneur.2023.1195923,M088-01,NR,NR,10.3389/fneur.2023.1195923,37333009,2023,diagnostic_or_prognostic_model,clinical chronic pain,clinical chronic pain,20,NR,NR,pain-related state,NR,concurrent or study-defined; exact timing NR,fMRI/MRI; face/video,fMRI/MRI; face/video,NR,NR,NR,NR,NR,CNN; deep neural network,multimodal,NR,NR,NR,NR,NR,yes,accuracy,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC10273207/,Single-pass extraction; author verification required
R0138,S-10.1371/journal.pone.0235545,M089-01,NR,NR,10.1371/journal.pone.0235545,32645045,2020,diagnostic_or_prognostic_model,experimental human,experimental human,NR,NR,NR,reported or annotated pain intensity,participant self-report,concurrent or study-defined; exact timing NR,EMG; face/video,EMG; face/video,NR,NR,NR,NR,NR,NR,multimodal,NR,NR,NR,NR,NR,no,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC7347182/,Single-pass extraction; author verification required
R0146,S-10.1227/neu.0000000000001855,M034-01,34,37,10.1227/neu.0000000000001855,35179133,2022,scs_prediction_or_longitudinal,SCS chronic pain,SCS chronic pain,151,NR,NR,treatment response,predefined clinical follow-up outcome,concurrent or study-defined; exact timing NR,clinical variables,clinical variables,NR,NR,NR,NR,NR,random forest; gradient boosting; logistic regression,NA unimodal or NR,nested CV,nested CV,NR,no,yes,yes,AUC,NR,no,no,NR,No independent external validation,closed,NR,NR,NR,curated evidence map and available report,https://pmc.ncbi.nlm.nih.gov/articles/PMC9514733/,No independent external validation
R0153,S-10.7717/peerj-cs.3158,M090-01,NR,NR,10.7717/peerj-cs.3158,40989383,2025,diagnostic_or_prognostic_model,clinical human,clinical human,NR,NR,NR,pain-related state,participant self-report,concurrent or study-defined; exact timing NR,face/video,face/video,NR,NR,NR,NR,NR,transformer,NA unimodal or NR,NR,NR,NR,NR,NR,yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12453799/,Single-pass extraction; author verification required
R0155,S-10.1136/rapm-2023-104639,M091-01,NR,NR,10.1136/rapm-2023-104639,37491149,2024,scs_technical_control,SCS chronic pain,SCS chronic pain,67,NR,NR,ECAP/recruitment,recorded evoked neural response,concurrent or study-defined; exact timing NR,ECAP; movement/IMU,ECAP; movement/IMU,NR,NR,NR,NR,NR,NR,multimodal,person-level split,person-level split,NR,no,yes,yes,NR,reported,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC11041592/,Single-pass extraction; author verification required
R0158,S-10.1093/pm/pnaf058,M092-01,NR,NR,10.1093/pm/pnaf058,40378232,2025,scs_technical_control,SCS chronic pain,SCS chronic pain,28,NR,NR,ECAP/recruitment,recorded evoked neural response,concurrent or study-defined; exact timing NR,ECAP; movement/IMU,ECAP; movement/IMU,NR,NR,NR,NR,NR,NR,multimodal,NR,NR,NR,NR,NR,yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12585107/,Single-pass extraction; author verification required
