requested_doi,doi,pmid,pmcid,status,checked_at
10.1007/s11916-025-01400-4,10.1007/s11916-025-01400-4,,,error,2026-09-12
10.1007/s11916-026-01517-0,10.1007/s11916-026-01517-0,,,error,2026-09-12
10.1007/s11916-026-01539-8,10.1007/s11916-026-01539-8,,,error,2026-09-12
10.1007/s13246-026-01720-8,10.1007/s13246-026-01720-8,,,error,2026-09-12
10.1007/s13311-014-0280-3,10.1007/s13311-014-0280-3,24850309,PMC4121459,resolved,2026-09-12
10.1007/s40122-023-00526-w,10.1007/s40122-023-00526-w,37284926,PMC10290021,resolved,2026-09-12
10.1007/s40122-024-00584-8,10.1007/s40122-024-00584-8,38430433,PMC11111436,resolved,2026-09-12
10.1016/j.artmed.2023.102724,10.1016/j.artmed.2023.102724,,,error,2026-09-12
10.1016/j.artmed.2026.103455,10.1016/j.artmed.2026.103455,,,error,2026-09-12
10.1016/j.clinph.2024.05.007,10.1016/j.clinph.2024.05.007,38852434,PMC11418354,resolved,2026-09-12
10.1016/j.cmpb.2023.107365,10.1016/j.cmpb.2023.107365,,,error,2026-09-12
10.1016/j.compbiomed.2020.104150,10.1016/j.compbiomed.2020.104150,33348218,PMC7856028,resolved,2026-09-12
10.1016/j.compbiomed.2023.107462,10.1016/j.compbiomed.2023.107462,,,error,2026-09-12
10.1016/j.compbiomed.2025.109908,10.1016/j.compbiomed.2025.109908,,,error,2026-09-12
10.1016/j.dib.2021.106796,10.1016/j.dib.2021.106796,33644268,PMC7887380,resolved,2026-09-12
10.1016/j.dib.2022.108802,10.1016/j.dib.2022.108802,36561927,PMC9764200,resolved,2026-09-12
10.1016/j.dib.2025.111992,10.1016/j.dib.2025.111992,40918059,PMC12410463,resolved,2026-09-12
10.1016/j.dib.2026.112842,10.1016/j.dib.2026.112842,42205768,PMC13208079,resolved,2026-09-12
10.1016/j.dib.2026.113131,10.1016/j.dib.2026.113131,42621863,PMC13487592,resolved,2026-09-12
10.1016/j.dib.2026.113141,10.1016/j.dib.2026.113141,42662082,PMC13519607,resolved,2026-09-12
10.1016/j.expneurol.2022.114178,10.1016/j.expneurol.2022.114178,,,error,2026-09-12
10.1016/j.heliyon.2024.e41558,10.1016/j.heliyon.2024.e41558,39845012,PMC11750553,resolved,2026-09-12
10.1016/j.ijmedinf.2023.105337,10.1016/j.ijmedinf.2023.105337,,,error,2026-09-12
10.1016/j.jclinane.2025.111898,10.1016/j.jclinane.2025.111898,,,error,2026-09-12
10.1016/j.jmig.2020.06.011,10.1016/j.jmig.2020.06.011,,,error,2026-09-12
10.1016/j.jpain.2021.07.011,10.1016/j.jpain.2021.07.011,,,error,2026-09-12
10.1016/j.jpain.2024.104646,10.1016/j.jpain.2024.104646,,,error,2026-09-12
10.1016/j.jpain.2025.105645,10.1016/j.jpain.2025.105645,,,error,2026-09-12
10.1016/j.jpain.2026.106416,10.1016/j.jpain.2026.106416,,,error,2026-09-12
10.1016/j.jped.2023.05.005,10.1016/j.jped.2023.05.005,37331703,PMC10594024,resolved,2026-09-12
10.1016/j.nec.2022.02.006,10.1016/j.nec.2022.02.006,,,error,2026-09-12
10.1016/j.neuroimage.2020.117506,10.1016/j.neuroimage.2020.117506,,,error,2026-09-12
10.1016/j.neuroimage.2026.122002,10.1016/j.neuroimage.2026.122002,42134463,PMC13276974,resolved,2026-09-12
10.1016/j.neurom.2021.11.014,10.1016/j.neurom.2021.11.014,,,error,2026-09-12
10.1016/j.neurom.2022.04.037,10.1016/j.neurom.2022.04.037,,,error,2026-09-12
10.1016/j.neurom.2022.04.039,10.1016/j.neurom.2022.04.039,,,error,2026-09-12
10.1016/j.neurom.2022.06.006,10.1016/j.neurom.2022.06.006,,,error,2026-09-12
10.1016/j.neurom.2022.10.050,10.1016/j.neurom.2022.10.050,,,error,2026-09-12
10.1016/j.neurom.2022.11.002,10.1016/j.neurom.2022.11.002,,,error,2026-09-12
10.1016/j.neurom.2023.05.003,10.1016/j.neurom.2023.05.003,,,error,2026-09-12
10.1016/j.neurom.2023.10.188,10.1016/j.neurom.2023.10.188,,,error,2026-09-12
10.1016/j.neurom.2024.04.006,10.1016/j.neurom.2024.04.006,,,error,2026-09-12
10.1016/j.neurom.2024.07.003,10.1016/j.neurom.2024.07.003,,,error,2026-09-12
10.1016/j.neurom.2024.08.005,10.1016/j.neurom.2024.08.005,,,error,2026-09-12
10.1016/j.neurom.2025.11.011,10.1016/j.neurom.2025.11.011,,,error,2026-09-12
10.1016/j.neurom.2025.12.002,10.1016/j.neurom.2025.12.002,,,error,2026-09-12
10.1016/j.neuron.2023.10.021,10.1016/j.neuron.2023.10.021,,,error,2026-09-12
10.1016/j.neuron.2024.02.012,10.1016/j.neuron.2024.02.012,,,error,2026-09-12
10.1016/j.ostima.2025.100381,10.1016/j.ostima.2025.100381,,,error,2026-09-12
10.1016/j.pain.2004.09.012,10.1016/j.pain.2004.09.012,,,error,2026-09-12
10.1016/j.pain.2011.11.023,10.1016/j.pain.2011.11.023,,,error,2026-09-12
10.1016/j.pain.2013.04.044,10.1016/j.pain.2013.04.044,,,error,2026-09-12
10.1016/j.pedn.2023.03.008,10.1016/j.pedn.2023.03.008,,,error,2026-09-12
10.1016/j.pmn.2025.10.003,10.1016/j.pmn.2025.10.003,,,error,2026-09-12
10.1016/j.ridd.2025.105058,10.1016/j.ridd.2025.105058,,,error,2026-09-12
10.1016/j.sleep.2025.106664,10.1016/j.sleep.2025.106664,,,error,2026-09-12
10.1016/j.smhl.2018.01.002,10.1016/j.smhl.2018.01.002,30906841,PMC6428053,resolved,2026-09-12
10.1016/j.toxicon.2026.109073,10.1016/j.toxicon.2026.109073,,,error,2026-09-12
10.1016/j.tvir.2024.100990,10.1016/j.tvir.2024.100990,,,error,2026-09-12
10.1016/j.ynpai.2024.100164,10.1016/j.ynpai.2024.100164,39286765,PMC11404079,resolved,2026-09-12
10.1016/s0304-3959(01)00349-9,10.1016/s0304-3959(01)00349-9,,,error,2026-09-12
10.1016/s1474-4422(19)30414-4,10.1016/s1474-4422(19)30414-4,,,error,2026-09-12
10.1021/acs.jnatprod.4c00439,10.1021/acs.jnatprod.4c00439,39470012,PMC11724649,resolved,2026-09-12
10.1038/ncomms14211,10.1038/ncomms14211,28195170,PMC5316889,resolved,2026-09-12
10.1038/s41390-025-04669-8,10.1038/s41390-025-04669-8,,,error,2026-09-12
10.1038/s41393-025-01133-6,10.1038/s41393-025-01133-6,,,error,2026-09-12
10.1038/s41551-023-01153-8,10.1038/s41551-023-01153-8,38097809,PMC11404213,resolved,2026-09-12
10.1038/s41593-023-01338-z,10.1038/s41593-023-01338-z,37217725,PMC10330878,resolved,2026-09-12
10.1038/s41597-024-03878-w,10.1038/s41597-024-03878-w,39333541,PMC11436824,resolved,2026-09-12
10.1038/s41597-025-04733-2,10.1038/s41597-025-04733-2,40210645,PMC11985987,resolved,2026-09-12
10.1038/s41597-025-05982-x,10.1038/s41597-025-05982-x,41145516,PMC12559740,resolved,2026-09-12
10.1038/s41598-022-13348-1,10.1038/s41598-022-13348-1,35688852,PMC9187730,resolved,2026-09-12
10.1038/s41598-022-21264-7,10.1038/s41598-022-21264-7,36220864,PMC9553970,resolved,2026-09-12
10.1038/s41598-023-35846-6,10.1038/s41598-023-35846-6,37268666,PMC10238514,resolved,2026-09-12
10.1038/s41598-023-41774-2,10.1038/s41598-023-41774-2,37674052,PMC10482887,resolved,2026-09-12
10.1038/s41598-023-49031-2,10.1038/s41598-023-49031-2,38062194,PMC10703818,resolved,2026-09-12
10.1038/s41598-024-71278-6,10.1038/s41598-024-71278-6,39223215,PMC11369161,resolved,2026-09-12
10.1038/s41598-024-78406-2,10.1038/s41598-024-78406-2,39543343,PMC11564822,resolved,2026-09-12
10.1038/s41598-024-78494-0,10.1038/s41598-024-78494-0,39511381,PMC11543859,resolved,2026-09-12
10.1038/s41598-024-82631-0,10.1038/s41598-024-82631-0,39732802,PMC11682341,resolved,2026-09-12
10.1038/s41598-024-83950-y,10.1038/s41598-024-83950-y,39754012,PMC11698723,resolved,2026-09-12
10.1038/s41598-025-02247-w,10.1038/s41598-025-02247-w,40382393,PMC12085662,resolved,2026-09-12
10.1038/s41598-025-04552-w,10.1038/s41598-025-04552-w,40461564,PMC12134349,resolved,2026-09-12
10.1038/s41598-025-09046-3,10.1038/s41598-025-09046-3,40595349,PMC12218136,resolved,2026-09-12
10.1038/s41598-025-12476-8,10.1038/s41598-025-12476-8,40731063,PMC12307811,resolved,2026-09-12
10.1038/s41598-025-13433-1,10.1038/s41598-025-13433-1,40745441,PMC12314105,resolved,2026-09-12
10.1038/s41598-025-14238-y,10.1038/s41598-025-14238-y,40796769,PMC12344049,resolved,2026-09-12
10.1038/s41598-025-21987-3,10.1038/s41598-025-21987-3,41173924,PMC12578783,resolved,2026-09-12
10.1038/s41598-025-27404-z,10.1038/s41598-025-27404-z,41366265,PMC12689790,resolved,2026-09-12
10.1038/s41598-025-92111-8,10.1038/s41598-025-92111-8,40102462,PMC11920397,resolved,2026-09-12
10.1038/s41598-025-97885-5,10.1038/s41598-025-97885-5,40251301,PMC12008390,resolved,2026-09-12
10.1038/s41598-026-39604-2,10.1038/s41598-026-39604-2,41851189,PMC13000268,resolved,2026-09-12
10.1038/s41598-026-54248-y,10.1038/s41598-026-54248-y,42533023,PMC13424116,resolved,2026-09-12
10.1038/s41598-026-57148-3,10.1038/s41598-026-57148-3,42288571,PMC13522443,resolved,2026-09-12
10.1038/s41598-026-58562-3,10.1038/s41598-026-58562-3,,,error,2026-09-12
10.1038/s41746-023-00810-1,10.1038/s41746-023-00810-1,37100924,PMC10133304,resolved,2026-09-12
10.1038/s41746-023-00892-x,10.1038/s41746-023-00892-x,37582839,PMC10427619,resolved,2026-09-12
10.1038/s41746-025-02241-6,10.1038/s41746-025-02241-6,41540230,PMC12824274,resolved,2026-09-12
10.1056/nejmoa1204471,10.1056/nejmoa1204471,23574118,PMC3691100,resolved,2026-09-12
10.1073/pnas.2319316121,10.1073/pnas.2319316121,39316050,PMC11459174,resolved,2026-09-12
10.1080/00325481.2020.1769393,10.1080/00325481.2020.1769393,,,error,2026-09-12
10.1080/14737175.2026.2632285,10.1080/14737175.2026.2632285,,,error,2026-09-12
10.1080/17434440.2019.1567325,10.1080/17434440.2019.1567325,,,error,2026-09-12
10.1080/17434440.2023.2255520,10.1080/17434440.2023.2255520,,,error,2026-09-12
10.1088/1741-2552/aceca4,10.1088/1741-2552/aceca4,,,error,2026-09-12
10.1088/1741-2552/ad7f8b,10.1088/1741-2552/ad7f8b,,,error,2026-09-12
10.1088/1741-2552/adbfbe,10.1088/1741-2552/adbfbe,,,error,2026-09-12
10.1088/2057-1976/ae34b4,10.1088/2057-1976/ae34b4,,,error,2026-09-12
10.1093/ageing/afaf027,10.1093/ageing/afaf027,39967417,PMC11836425,resolved,2026-09-12
10.1093/biomethods/bpaf093,10.1093/biomethods/bpaf093,41536646,PMC12798540,resolved,2026-09-12
10.1093/cercor/bhad504,10.1093/cercor/bhad504,,,error,2026-09-12
10.1093/jamia/ocac231,10.1093/jamia/ocac231,36458955,PMC9933069,resolved,2026-09-12
10.1093/neuros/nyaa003,10.1093/neuros/nyaa003,32023344,PMC8184296,resolved,2026-09-12
10.1093/pm/pnaf058,10.1093/pm/pnaf058,40378232,PMC12585107,resolved,2026-09-12
10.1093/pm/pnag039,10.1093/pm/pnag039,42268376,PMC13250572,resolved,2026-09-12
10.1093/pm/pnag040,10.1093/pm/pnag040,42268377,PMC13250577,resolved,2026-09-12
10.1093/pnasnexus/pgaf352,10.1093/pnasnexus/pgaf352,41245089,PMC12617409,resolved,2026-09-12
10.1097/aco.0000000000001508,10.1097/aco.0000000000001508,40271647,PMC12353991,resolved,2026-09-12
10.1097/ajp.0000000000001146,10.1097/ajp.0000000000001146,37440335,PMC10498882,resolved,2026-09-12
10.1097/ajp.0000000000001223,10.1097/ajp.0000000000001223,38751011,PMC11309338,resolved,2026-09-12
10.1097/anc.0000000000001145,10.1097/anc.0000000000001145,,,error,2026-09-12
10.1097/anc.0000000000001205,10.1097/anc.0000000000001205,,,error,2026-09-12
10.1097/brs.0000000000005445,10.1097/brs.0000000000005445,40590186,PMC12594148,resolved,2026-09-12
10.1097/cin.0000000000001302,10.1097/cin.0000000000001302,,,error,2026-09-12
10.1097/ea9.0000000000000111,10.1097/ea9.0000000000000111,42244836,PMC13232929,resolved,2026-09-12
10.1097/j.pain.0000000000001135,10.1097/j.pain.0000000000001135,,,error,2026-09-12
10.1097/j.pain.0000000000001417,10.1097/j.pain.0000000000001417,30540621,PMC6377310,resolved,2026-09-12
10.1097/j.pain.0000000000001939,10.1097/j.pain.0000000000001939,32694387,PMC7680716,resolved,2026-09-12
10.1097/j.pain.0000000000002035,10.1097/j.pain.0000000000002035,,,error,2026-09-12
10.1097/j.pain.0000000000002825,10.1097/j.pain.0000000000002825,36409624,PMC10184564,resolved,2026-09-12
10.1097/j.pain.0000000000002900,10.1097/j.pain.0000000000002900,37146182,PMC10436358,resolved,2026-09-12
10.1097/md.0000000000013421,10.1097/md.0000000000013421,30544420,PMC6310598,resolved,2026-09-12
10.1097/pr9.0000000000001332,10.1097/pr9.0000000000001332,40969592,PMC12443153,resolved,2026-09-12
10.1097/spc.0000000000000767,10.1097/spc.0000000000000767,,,error,2026-09-12
10.1097/wco.0000000000001431,10.1097/wco.0000000000001431,41069191,PMC13142174,resolved,2026-09-12
10.1097/wco.0000000000001433,10.1097/wco.0000000000001433,41076564,PMC13020546,resolved,2026-09-12
10.1101/2024.09.18.24313903,10.1101/2024.09.18.24313903,39371148,PMC11451669,resolved,2026-09-12
10.1101/2025.07.29.667254,10.1101/2025.07.29.667254,40766435,PMC12324369,resolved,2026-09-12
10.1109/bibm47256.2019.8983282,10.1109/bibm47256.2019.8983282,32793402,PMC7423325,resolved,2026-09-12
10.1109/cybconf.2013.6617456,10.1109/cybconf.2013.6617456,,,error,2026-09-12
10.1109/embc.2018.8512389,10.1109/embc.2018.8512389,30440413,PMC6436808,resolved,2026-09-12
10.1109/embc.2018.8513575,10.1109/embc.2018.8513575,,,error,2026-09-12
10.1109/embc40787.2023.10340199,10.1109/embc40787.2023.10340199,,,error,2026-09-12
10.1109/embc40787.2023.10340960,10.1109/embc40787.2023.10340960,,,error,2026-09-12
10.1109/embc40787.2023.10341072,10.1109/embc40787.2023.10341072,,,error,2026-09-12
10.1109/embc44109.2020.9175247,10.1109/embc44109.2020.9175247,,,error,2026-09-12
10.1109/embc44109.2020.9176644,10.1109/embc44109.2020.9176644,,,error,2026-09-12
10.1109/embc46164.2021.9630002,10.1109/embc46164.2021.9630002,,,error,2026-09-12
10.1109/embc48229.2022.9871228,10.1109/embc48229.2022.9871228,,,error,2026-09-12
10.1109/embc48229.2022.9871536,10.1109/embc48229.2022.9871536,,,error,2026-09-12
10.1109/embc48229.2022.9871770,10.1109/embc48229.2022.9871770,,,error,2026-09-12
10.1109/embc48229.2022.9871990,10.1109/embc48229.2022.9871990,,,error,2026-09-12
10.1109/embc53108.2024.10781536,10.1109/embc53108.2024.10781536,,,error,2026-09-12
10.1109/embc53108.2024.10781616,10.1109/embc53108.2024.10781616,,,error,2026-09-12
10.1109/embc58623.2025.11253087,10.1109/embc58623.2025.11253087,,,error,2026-09-12
10.1109/embc58623.2025.11253317,10.1109/embc58623.2025.11253317,,,error,2026-09-12
10.1109/fg.2011.5771462,10.1109/fg.2011.5771462,,,error,2026-09-12
10.1109/fg.2018.00044,10.1109/fg.2018.00044,,,error,2026-09-12
10.1109/jbhi.2020.3045743,10.1109/jbhi.2020.3045743,,,error,2026-09-12
10.1109/jbhi.2023.3291955,10.1109/jbhi.2023.3291955,,,error,2026-09-12
10.1109/jbhi.2024.3443651,10.1109/jbhi.2024.3443651,,,error,2026-09-12
10.1109/jstsp.2016.2535962,10.1109/jstsp.2016.2535962,,,error,2026-09-12
10.1109/taffc.2015.2462830,10.1109/taffc.2015.2462830,30906508,PMC6430129,resolved,2026-09-12
10.1109/taffc.2019.2946774,10.1109/taffc.2019.2946774,,,error,2026-09-12
10.1109/taffc.2024.3390837,10.1109/taffc.2024.3390837,,,error,2026-09-12
10.1109/tbme.2009.2039214,10.1109/tbme.2009.2039214,20172803,PMC3103750,resolved,2026-09-12
10.1109/tbme.2017.2756870,10.1109/tbme.2017.2756870,28952933,PMC5718188,resolved,2026-09-12
10.1109/tbme.2021.3096137,10.1109/tbme.2021.3096137,,,error,2026-09-12
10.1109/tbme.2024.3355215,10.1109/tbme.2024.3355215,,,error,2026-09-12
10.1109/tcyb.2017.2662199,10.1109/tcyb.2017.2662199,,,error,2026-09-12
10.1109/tnsre.2023.3335100,10.1109/tnsre.2023.3335100,,,error,2026-09-12
10.1109/tnsre.2026.3658636,10.1109/tnsre.2026.3658636,,,error,2026-09-12
10.1109/tpami.2019.2958341,10.1109/tpami.2019.2958341,,,error,2026-09-12
10.1111/jan.16063,10.1111/jan.16063,,,error,2026-09-12
10.1111/joor.70108,10.1111/joor.70108,,,error,2026-09-12
10.1111/ner.12170,10.1111/ner.12170,,,error,2026-09-12
10.1111/ner.12319,10.1111/ner.12319,,,error,2026-09-12
10.1111/ner.12377,10.1111/ner.12377,,,error,2026-09-12
10.1111/ner.12684,10.1111/ner.12684,,,error,2026-09-12
10.1111/ner.12719,10.1111/ner.12719,,,error,2026-09-12
10.1111/ner.12932,10.1111/ner.12932,,,error,2026-09-12
10.1111/ner.12965,10.1111/ner.12965,31215720,PMC6920600,resolved,2026-09-12
10.1111/ner.12968,10.1111/ner.12968,,,error,2026-09-12
10.1111/ner.13091,10.1111/ner.13091,,,error,2026-09-12
10.1111/ner.13138,10.1111/ner.13138,,,error,2026-09-12
10.1111/ner.13252,10.1111/ner.13252,,,error,2026-09-12
10.1111/ner.13267,10.1111/ner.13267,,,error,2026-09-12
10.1111/ner.13510,10.1111/ner.13510,,,error,2026-09-12
10.1111/nicc.70478,10.1111/nicc.70478,41983382,PMC13080763,resolved,2026-09-12
10.1111/papr.13008,10.1111/papr.13008,33768664,PMC8359972,resolved,2026-09-12
10.1111/papr.13290,10.1111/papr.13290,,,error,2026-09-12
10.1111/papr.70010,10.1111/papr.70010,,,error,2026-09-12
10.1111/papr.70058,10.1111/papr.70058,,,error,2026-09-12
10.1111/papr.70166,10.1111/papr.70166,,,error,2026-09-12
10.1111/psyp.70276,10.1111/psyp.70276,,,error,2026-09-12
10.1117/1.jbo.22.10.106013,10.1117/1.jbo.22.10.106013,,,error,2026-09-12
10.1136/bmj-2022-073538,10.1136/bmj-2022-073538,37137496,PMC10155050,resolved,2026-09-12
10.1136/bmj-2024-082505,10.1136/bmj-2024-082505,40127903,PMC11931409,resolved,2026-09-12
10.1136/bmj.n71,10.1136/bmj.n71,33782057,PMC8005924,resolved,2026-09-12
10.1136/bmjhci-2024-101283,10.1136/bmjhci-2024-101283,41274668,PMC12658508,resolved,2026-09-12
10.1136/bmjopen-2019-030482,10.1136/bmjopen-2019-030482,31831532,PMC6924806,resolved,2026-09-12
10.1136/bmjopen-2020-039292,10.1136/bmjopen-2020-039292,33408199,PMC7789448,resolved,2026-09-12
10.1136/bmjopen-2023-073534,10.1136/bmjopen-2023-073534,37993169,PMC10668325,resolved,2026-09-12
10.1136/rapm-2023-104639,10.1136/rapm-2023-104639,37491149,PMC11041592,resolved,2026-09-12
10.1136/rapm-2023-104751,10.1136/rapm-2023-104751,37640452,PMC11103285,resolved,2026-09-12
10.1136/rapm-2024-105346,10.1136/rapm-2024-105346,38508591,PMC12015077,resolved,2026-09-12
10.1136/rapm-2024-105370,10.1136/rapm-2024-105370,38490687,PMC12322467,resolved,2026-09-12
10.1145/3449068,10.1145/3449068,,,error,2026-09-12
10.1145/3737281,10.1145/3737281,,,error,2026-09-12
10.1155/2021/7344102,10.1155/2021/7344102,34876922,PMC8645396,resolved,2026-09-12
10.1155/2023/6018736,10.1155/2023/6018736,37416623,PMC10322534,resolved,2026-09-12
10.1155/prm/5131891,10.1155/prm/5131891,42029549,PMC13108428,resolved,2026-09-12
10.1159/000541986,10.1159/000541986,,,error,2026-09-12
10.1159/000552993,10.1159/000552993,,,error,2026-09-12
10.1177/1744806918763658,10.1177/1744806918763658,29546805,PMC5858615,resolved,2026-09-12
10.1177/17531934241307515,10.1177/17531934241307515,,,error,2026-09-12
10.1177/20552076241259664,10.1177/20552076241259664,38846372,PMC11155325,resolved,2026-09-12
10.11817/j.issn.1672-7347.2026.250554,10.11817/j.issn.1672-7347.2026.250554,42032954,PMC13071591,resolved,2026-09-12
10.1186/s12904-024-01526-z,10.1186/s12904-024-01526-z,39097739,PMC11297625,resolved,2026-09-12
10.1186/s12911-025-03305-z,10.1186/s12911-025-03305-z,41398270,PMC12822141,resolved,2026-09-12
10.1186/s12911-026-03571-5,10.1186/s12911-026-03571-5,42243763,PMC13455303,resolved,2026-09-12
10.1186/s12916-025-04057-3,10.1186/s12916-025-04057-3,40247335,PMC12004839,resolved,2026-09-12
10.1186/s13018-024-05134-8,10.1186/s13018-024-05134-8,39380108,PMC11463084,resolved,2026-09-12
10.1186/s13030-026-00357-z,10.1186/s13030-026-00357-z,41963979,PMC13067708,resolved,2026-09-12
10.1186/s13054-016-1208-6,10.1186/s13054-016-1208-6,27885969,PMC5493079,resolved,2026-09-12
10.1186/s13643-020-01542-z,10.1186/s13643-020-01542-z,33499930,PMC7839230,resolved,2026-09-12
10.1186/s40035-020-00191-5,10.1186/s40035-020-00191-5,32322387,PMC7161193,resolved,2026-09-12
10.1186/s44158-025-00249-8,10.1186/s44158-025-00249-8,40457422,PMC12131339,resolved,2026-09-12
10.1227/neu.0000000000001855,10.1227/neu.0000000000001855,35179133,PMC9514733,resolved,2026-09-12
10.1227/neu.0000000000001969,10.1227/neu.0000000000001969,35384918,PMC12245366,resolved,2026-09-12
10.1227/neu.0000000000001989,10.1227/neu.0000000000001989,,,error,2026-09-12
10.1227/neu.0000000000002017,10.1227/neu.0000000000002017,,,error,2026-09-12
10.1227/neu.0000000000002047,10.1227/neu.0000000000002047,35603938,PMC9514737,resolved,2026-09-12
10.1227/neu.0000000000002474,10.1227/neu.0000000000002474,,,error,2026-09-12
10.1227/neu.0000000000003715,10.1227/neu.0000000000003715,,,error,2026-09-12
10.1227/ons.0000000000000774,10.1227/ons.0000000000000774,37219574,PMC10586864,resolved,2026-09-12
10.12688/f1000research.20441.1,10.12688/f1000research.20441.1,32047606,PMC6979466,resolved,2026-09-12
10.12998/wjcc.v12.i4.681,10.12998/wjcc.v12.i4.681,38322690,PMC10841123,resolved,2026-09-12
10.1371/journal.pdig.0001301,10.1371/journal.pdig.0001301,41894538,PMC13029810,resolved,2026-09-12
10.1371/journal.pdig.0001442,10.1371/journal.pdig.0001442,42189831,PMC13210372,resolved,2026-09-12
10.1371/journal.pone.0140330,10.1371/journal.pone.0140330,26474183,PMC4608770,resolved,2026-09-12
10.1371/journal.pone.0232412,10.1371/journal.pone.0232412,32822348,PMC7444520,resolved,2026-09-12
10.1371/journal.pone.0235545,10.1371/journal.pone.0235545,32645045,PMC7347182,resolved,2026-09-12
10.1371/journal.pone.0241532,10.1371/journal.pone.0241532,34086704,PMC8177539,resolved,2026-09-12
10.1371/journal.pone.0254108,10.1371/journal.pone.0254108,34242325,PMC8270203,resolved,2026-09-12
10.1371/journal.pone.0258672,10.1371/journal.pone.0258672,34665834,PMC8525760,resolved,2026-09-12
10.1371/journal.pone.0307970,10.1371/journal.pone.0307970,39088473,PMC11293669,resolved,2026-09-12
10.1371/journal.pone.0315343,10.1371/journal.pone.0315343,40100883,PMC11957733,resolved,2026-09-12
10.1371/journal.pone.0337726,10.1371/journal.pone.0337726,41348694,PMC12680202,resolved,2026-09-12
10.1371/journal.pone.0345287,10.1371/journal.pone.0345287,41926484,PMC13046245,resolved,2026-09-12
10.1371/journal.pone.0354510,10.1371/journal.pone.0354510,42636251,PMC13502692,resolved,2026-09-12
10.1515/sjpain-2023-0011,10.1515/sjpain-2023-0011,,,error,2026-09-12
10.1515/sjpain-2026-0015,10.1515/sjpain-2026-0015,,,error,2026-09-12
10.1542/peds.2015-0029,10.1542/peds.2015-0029,26034245,PMC4485009,resolved,2026-09-12
10.1701/4460.44555,10.1701/4460.44555,,,error,2026-09-12
10.17116/jnevro201911909123,10.17116/jnevro201911909123,,,error,2026-09-12
10.21037/apm-20-642,10.21037/apm-20-642,,,error,2026-09-12
10.21203/rs.3.pex-2191/v1,10.21203/rs.3.pex-2191/v1,37205356,PMC10187402,resolved,2026-09-12
10.2147/jmdh.s531709,10.2147/jmdh.s531709,40970148,PMC12442815,resolved,2026-09-12
10.2147/jpr.s491574,10.2147/jpr.s491574,39540033,PMC11559421,resolved,2026-09-12
10.2147/jpr.s578721,10.2147/jpr.s578721,41924082,PMC13037636,resolved,2026-09-12
10.2147/jpr.s617733,10.2147/jpr.s617733,42454002,PMC13367641,resolved,2026-09-12
10.2196/13671,10.2196/13671,31789599,PMC6915456,resolved,2026-09-12
10.2196/17783,10.2196/17783,32609091,PMC7367536,resolved,2026-09-12
10.2196/18659,10.2196/18659,33108311,PMC7704279,resolved,2026-09-12
10.2196/23920,10.2196/23920,33533723,PMC7889419,resolved,2026-09-12
10.2196/25079,10.2196/25079,34047710,PMC8196363,resolved,2026-09-12
10.2196/25258,10.2196/25258,33949957,PMC8135033,resolved,2026-09-12
10.2196/36998,10.2196/36998,35737453,PMC9264122,resolved,2026-09-12
10.2196/41992,10.2196/41992,36780223,PMC9972204,resolved,2026-09-12
10.2196/51250,10.2196/51250,38607660,PMC11053395,resolved,2026-09-12
10.2196/53026,10.2196/53026,39993299,PMC11894359,resolved,2026-09-12
